park_visited,enjoys_most,other_needs,year,anything_to_add
Duck Mountain,Would have been completely satisfied if we could have had a fire,,2018,
Makwa,Nice campground,,2018,
Battlefords,"It rained, we had loud neighbours",Interpretive group activities,2018,"The parks are great, but the fees are too expensive! I'd recommend aligning with national park prices. Once the online reservation fee and taxes are included, sask parks are more expensive"
Candle Lake,The weather was better than expected. We have a boat the boat launch could be better (deeper on all sides of the dock) the bathroom and showers were great - the sewer dump the apron around could be leveller it hard to get a complete dump.,,2018,I really liked the shower curtains at cypress hills  wish Douglas would get them.    The showers at Douglas could use a up date the showers at cypress were so  much cleaner brighter the shower curtain fit the showers keeping the floors dry.  The boat launch at Douglas needs to be deepened getting tired of having to drive to Elbow to launch  Buffalo could use a hand wash station at the sewer dump Douglas and  Buffalo could use new flush hoses with the end on so we could use a wand in the toilet  we love camp
22,Nice site but too far for water tap,,2018,Put distance to water hook ups from each campsite in description
Moose Mountain,We've been to this park every year for several years and are always happy with our visit.,,2018,
Douglas Provincial,The reservation cancelation fee is beyond ridiculously expensive,,2018,Reservation cancelation fees are way too high! It was unresonably expensive. And they are also not clearly stated on the sask parks website.
Great Blue,"Site was clean, good wood for fires, quiet campground, great facilities",Multiple site bookings for the same dates so that friends could camp together - perhaps limit to two sites per person per booking,2018,Our parks are a jewel for the province. They should have a larger budget provided to conduct more programming for campers - especially children.
Narrow Hills,Bathroom showers clean all staff helpful,,2018,More seasonal camp sights we have tried for 7 years have yet to get one
Great Blue,Nice clean park. Just wish for more electrical sites as I can never get one!,,2018,The book on line reservation system is great but the extra fee for using it makes no sense as you arenâ€™t paying a staff to book the site for me I am doing it myself. A couple dollars would be ok but the amount charged is too much especially when we were making multiple bookings
Danielson,Not necessarily the visit.  It was difficult to get a spot.  When we were there there were empty spots.  I think people abuse the system.  The park isnâ€™t as clean as it used to be.  Weâ€™ve been going for 25 years.,,2018,Booking system needs some serious attention.  People who book and the donâ€™t show up but donâ€™t cancel.  I know the park is still getting their money but someone could enjoy that site.  I can see 1 night but an entire weekend?
Greenwater,Nice and quiet,,2018,
Good Spirit,I had to ask to have fire pit cleaned. I feel trees/area needs to be trimmed and cleaned more through.,Play structures. Toddler friendly so you donâ€™t have to worry about children getting seriously injured.,2018,Family time is essential. A great way to live this belief.
22,after some storms it took them a while to come back & pick up trees that had broke off also the outside lights around the toilet were not working for about 5 nights,maybe a swimming pool as the beach & water aren't great due to the geese,2018,the wasps this year were really bad and we got stung alot
Blackstrap Provincial,wasnt busy and close by,Get rid of the stand up fire pits and put in ALL culvert style pits!,2018,"Besides the reservation process, the parks and camping itself were great as usual!"
Lac La,Weather was bad (raining). Very poor wood for fires. It's nice that they've added more dump sites but it's gross. Some scruff does not go through the grates.,,2018,
Crooked Lake,"Campground was clean, site was private and overall it was quiet.",,2018,It was a great experience. We will spend more time at Saskatchewan campgrounds next year.
Duck Mountain,1,,2018,Hate that they you have to book your summer holidays in the winter in order to get a site. Not having the boat launch at Douglas is very disappointing. It would be nice if the daily activities were posted online somewhere for people not staying at the park to see so they could still come and take part
Lac La,We have booked one week for three consecutive years.  The firewood is never dry and there are times where there is very limited firewood as well.,,2018,
Blackstrap Provincial,Nice new campground with good size sites.,,2018,
Saskatchewan Landing,"It's a beautiful park, and we enjoy the fact that it's easy to walk from our campsite to the cafe and to the general store.",,2018,
Rowans Ravine,"This year at night it was quiet after 11PM.  Nice to see conservation patrolling.  Feel safe, clean, kids can have a great time and we don't worry about them.  Campsites are nice.  Your young lady at the toll booth was very personable.",Movie nights for the kids,2018,
Blackstrap Provincial,The water smelled like sewer. The sites were horrid to try to back in at hazelnut grove. The rod was too narrow.,,2018,
Pike Lake,The campgrounds are probably one of the more beautiful ones in the province,,2018,The rules at this camp ground appear to be double standard and not the most efficiently managed. It appears from a guest that the staff are favoured over the guests this has been discussed from a lot of camping groups over the years of camping. We camped there for thre decades and today we are considering trying another campground.
Makwa,Park is quote and reasonably well maintained and cleaned,,2018,
Meadow Lake,Itâ€™s beautiful and peaceful out there!! Well maintained,Let local Saskatchewan people register first,2018,
Danielson,"It was a pleasant experience except for the weather. I booked three nights but left after two.  Others left early, I later understood, because they could get a partial refund.  I did not qualify as I stayed beyond the cutoff point.  The campground was very pleasant, peaceful.  No traffic noise or loud vehicles or music, unlike places closer to home (AB, BC).  The check-in process was a little long as someone before me when on with complicated questions, and the desk clerk did not take into account someone e","More info signage of places (You Are Here), to destinations, & distances to destinations",2018,"I hope you continue to protect the clean air by not allowing smoke - cigarette, cannabis, or anything else - to be used in SPPs.  I go there for clean air, not to be surrounded by a newly legalized form of a toxin.  I hope that this notification will be posted clearly online during the search and booking process online."
Great Blue,"Good Spirit Lake is a wonderful area and the campground sites are good. However, the washroom facilities are deplorable, absolutely awful. No flush toilets! And only 3 showers for the entire campground. Not enough and they are in very poor condition. As a matter of fact, our grandchildren refused to use the showers as they were dirty. Our campgrounds have new service centres and flush toilets in the park, why not Good Spirit?","RO Water, clean, modern service centres. Enforcement of no dogs on beaches",2018,
Douglas Provincial,"-staff are extremely friendly (from front gate workers, to maintenance to officers -   -facilities (bathrooms were much cleaner than other locations), supply of wood was plentiful (most importantly good burning), garbage was picked up regularly (we were right by the bathrooms and garbage and never had any issues with smell or critters)","require a swim area right at Danielson camp ground, use of green space to create a more friendly way to enter and exit boat launch, better roads at boat launch, more boat docks, a convience store and rental facility for water equipment (canoe, etc), gas station",2018,"-I am personally not interested in renting the new camping option that is being introduced, however, I feel it is a great option for family that is travelling and wants to visit with members that are already camping.  If we did not own our own trailer I most definitely be interested in this option.  I just don't wan to see existing camping sites taken away for these new structures.  I am hopeful that new facilities would be added for these structures.  -more camping spots are required and Danielson has many"
Candle Lake,"Nice park, lots to do",new pool,2018,
Moose Mountain,Because it was a smooth check in and the weather was good and the park was not real busy .,,2018,
Battlefords,This Park has grown over the years. Riverside has been converted into a wonderful campground. The trail that goes all the way to the marina is nice walk.,,2018,
Saskatchewan Landing,"Staff were ,helpful, sites were large, it was quiet at night we enjoyed it.",,2018,
Good Spirit,There was very little fire wood at most times to be had during the entire summer.,,2018,
Narrow Hills,The park is run down and there is little value for the money spent.,,2018,Sask parks offer little to do than basic camping. I camped several times over the years but due to cost vs value I sold my trailer and have all but given up on sask parks run down facilities. I know there are examples of where upgrades have occurred but camping is just far too expensive for what you get. After my two visits to sask parks this year I am done and will likely never return to a park again.
Lac La,"Most of our experience was great. The only down side was neighbors that had loud music on all day, even when they were not at their site. This made it hard to relax at our site and enjoy nature, which is why we go camping.",Grey water dumping areas for disposing of dishwater for those of us that donâ€™t have the big RVs.,2018,
Narrow Hills,"need a better and more waste dump facilities, possibly in a different spot, line up is blocking traffic leaving the park.","grey dump stations by bathrooms in each loops, more water outlets to create an ease to fill fresh water tanks rather than hauling water",2018,"the parks lack trimming of trees, grass cut and weed control, parks look like they are going back to its natural state. sites not very level anymore. sand is used to level sites but not packed down, trailers sink into the sand and is tuff to level. when it rains the sites before muddy and sand tracks everywhere. Camped in Alberta this year and their sites are level and have a form of rock covering the site, keep things nice and clean. with cut backs lack of support staff, years ago if you were in a park for"
Cypress Hills,"IT's a beautiful location, the campsites are all nice and private, the park is small, the service centre is new and well maintained.",,2018,"Given the number of people interested in camping, there is a lot of demand for campsites.  It is frustrating when, at the time of reservation, you don't get your preferred campsite.  It is even more frustrating when you show up and see that the individual who booked the campsite - and shows as still booked on the reservation system - didn't show up.  It would be nice if SK Parks could do something about no shows.    Thanks for giving me an opportunity to provide feedback!!"
Moose Mountain,They need to upgrade the bathroom / shower facilities,Drive through sites and better bathroom facilities,2018,
Blackstrap Provincial,"There was a power outage, and we needed electricity for medal devices.",Programs for family,2018,"Pike lake change rooms are always very slippery and dirty, they need to be cleaned throughout the day for safety and they are not, one of our family member members fell on the muddy/slippery floor and got very hurt. If the dirt/sand on the floor was cleaned about once every 3 hours the change room floors would not be so slippery an dangerous.  Also their needs to be. More guided nature hikes and craft programs, there are a lot less of these then their were 5 years ago."
Battlefords,Public facilities were well maintained. Camp store is very handy. Tap water quality is good. Boating and beaching is fantastic. The camp road needs to be paved further east.,,2018,"Sask Prov Parks need to provide access to internet bandwidth. As improvements to park infrastructure take place, cables should be ploughed and equipment placed to provide a wired or wireless internet access."
Good Spirit,"The bathrooms were disgusting.  Need to be updated and get rid of the mold and broken paint everywhere.  Many times taking a shower there was either no water pressure, or extremely hot and cold temp water.  Hardly any security driving around so was worried about theft.  There were dandelions and weeds everywhere.  Needed gravel in low spots when it rained!  Wanted to charge seasonal site campers when coming in a couple days before the May long weekend when in reality it makes sense!!!!  But then charge us u","Boat launches with fuel, restaurant",2018,Do not like the draw as it still plays favourites to people....who get a site every year as they know someone in the system.  You do NOT follow the rules and allow people to enter various names in the draw and then get someone else's site when they didn't get drawn themselves.
Danielson,"Clean, well kept campground with lots to do.",,2018,
Makwa,n,,2018,n
Candle Lake,the boat launch was promised for this season and was not done  the pool  was closed   2 week stay per site  is a problem when there are so many empty sites available,,2018,I am encouraged to see the boat launch pads have been installed in Sept  we did receive a new aluminum dock this year that is wonderful I just hope the second dock will be supplied  for 2019 season because two dock are really needed.   It was disappointing about the swimming pool being shut down  I just hope falling attendance for lack of the pool will not affect the decision to replace It or down grade its replacement .
Saskatchewan Landing,"Sites were nice and level, had plenty of good dry wood available. The only suggestion would be the main big shower house the pressure was very poor dribbled along the shower wall, very poor pressure. The other shower place that had four bathroom/Shower combo in our campground area were OK but again shower heads did spray on you directly and unable to set it to do so and heat was an issue on those ones did not last. Also there was not much programming for the kids as other parks in the past. The mini golf gr",Swimming pool needs to be repaired & replaced at Buffalo Pound and re-build like Pike Lake since the Lake is not good for swimming much needed. Perfect setting for one with the Lake in the background we were very disappointed at the pool being broken down as that is why we booked Buffalo Pound sure hope it gets fixed. Also Buffalo Pound has plenty of room for a spray park for the little ones and a water slide like Pike Lake would be so cool for older kids and a pool for swim lessons. Lots also drive out for,2018,"My last plea to repair & replace the old outdated pool at Buffalo Pound, as the Lake is not good for swimming. Also many go for swim lessons and such a nice park would be a true shame to loose the swimming pool."
Lac La,"Well maintained campsites, lots of activities to keep the kids entertained",,2018,
Cypress Hills,"It's a well-maintained, quiet campground, with big, private sites and a covered wood pile.",Would like to see all firepits converted to the culvert style.,2018,"In general, the campgrounds are well-maintained with private, well-treed sites suitable for our trailer; the roads leading up to several parks could be improved, though, particularly to Crooked Lake, and even more-so, the #35 north from Qu'Appelle when going to Echo Lake (that road is horrible)."
Battlefords,The site was nice. The park attendants were good. The activities for the kids at the Amphiitheatre were fun. Sad that no fires were allowed.,more water and sewer sites would be nice,2018,
Narrow Hills,Moved along smoothly. Not a long wait,More water taps in the Lynwood campground. I donâ€™t like having to fill up at the time of registration at the office water taps. Thereâ€™s usually a line up there,2018,Would like to be able to somehow get a discount on multiple passes for one campsite as we usually take two vehicles. The tow vehicle and a car.
Cypress Hills,Large pull through sites,,2018,This is the first time we have visited this park. The road is is simply awful. The park itself is great
Danielson,Everything went smoothly. Very nice area.,,2018,
Danielson,Park staff are excellent and the park is very clean and well kept,,2018,
Good Spirit,"The site was very nice, staff were helpful and pleasant, park is well kept and facilities were clean.",,2018,
Battlefords,Online reservations is a hassle and not convenient when planning last minute camping- park should hold back at least 30% sites for last minute campers - camping is not convenient anymore - with the reservation on-line my parents no longer camp,,2018,"On-line reservation and phone in is a hassle and too expensive - fees to reserve and fees to cancel - all because people overbook and then cancel at the last minute. Impossible to camp at the last minute ie. no sporadic camping.  Park should  hold  back 30% sites for sporadic camping - no convenience anymore. Reservation booking system has deterred farmers and seniors from camping, which is very very unfortunate."
Lac La,"We have a tradition of camping in Aspen Grove, and we preferred when it was not electrified and there was more bush.  The site wasn't very nice for tenting. There is a lot of large gravel which isn't very good for sleeping or setting up tents. The drainage was okay. We didn't really need the electrified site, but because of the proximity to the beach, we chose it anyway.",,2018,"I am worried about the algae bloom in the lake. It seems to be worse than 20 years ago - in fact, I don't recall ever seeing an algae bloom on the lake until the last 5 years."
Battlefords,"We had a great camping spot. Quiet, walking distance to lake. Washrooms clean and well kept. It would have been completely satisfying had there not been a fire ban and if it hadnâ€™t rained. But we have no control over that.",,2018,I do not like the book at site process on registration day in April. Too stressful!!
Narrow Hills,Everything was in great shape,,2018,
Blackstrap Provincial,Everything as expected,,2018,
22,Weather was good and so was the park,,2018,
Duck Mountain,Was disappointed in the firewood as all logs were cut too long for the firepits and difficult to split due to the length.,,2018,
Greenwater,Shower facilities were reasonably clean.  Garbage were emptied.  However the firewood was not satisfactory.  Alot of bark and bits of wood and the wood was quite dirty.  The supply was replenished halfway through our stay and was a bit better,Cleanup of logs in water past the shore.  They are at the bottom of the swimming area,2018,
22,-,"Better Boat Lanches, Playground Upgrades",2018,"Battlefords Provincial Park needs upgraded boat launch facilities and more parking at those launches.  The current launches are inadequate for the number of people using them as well as unsafe especially in any kind of adverse weather conditions.    The South and North campground also need playground upgrades.  They are minimal, old and probably don't even comply with today's playground safety standards.  Given the number of people camping in those campgrounds constantly  improvements should be made."
Good Spirit,Bathrooms (not main one) were ok for clean but not the best we have seen     Loved the new tent that were set up. We stayed in the otentic in pa national park and love these stays,,2018,
Great Blue,The showers need to be updated. Very run down and you need more then 3 showers for 80 sites. Shower rooms where filled with fish flies. My daughters were scared to take a shower with all the fish flies in the shower stalls.,,2018,
Blackstrap Provincial,The campsite was not level.  Gravel had been added to it in previous years and never properly graded.  The gravel included larger stones that added to the problem.,,2018,"In our (3) day stay we never saw a staff member in the campground including in the office/ kiosk.  The self-check-in was difficult to use.  At the same time I would not want to pay higher fees for more staff.  The on-line registration system was very good, better than Alberta's that we used in 2018."
Moose Mountain,the site and amenities were exactly what we expected as we have camped in this area  for the past several years,,2018,we really prefer to have the lakeside site but would like to have them electrified
Duck Mountain,The fact that campers are not allowed to have a mini fridge under the canopy of the camping unit is disconcerning due to the evolution of the camping units,,2018,"With the evolving camping units and camping in general I don't see why mini fridges are not allowed under the units canopy.   If you're allowed to bring a bbq from home, why not a mini fridge????"
Greenwater,The staff is just great. They are so helpful and so friendly. They work really hard to keep the campers happy and comfortable.,Clothes washer and dryers would be helpful,2018,Staff handled several challenging situations at Murray Point on Emma Lake very well. Kudos to all.
Rowans Ravine,there was an abundance of firewood and campground was quieter than in previous years,,2018,Booking online was very disappointing.  People from other provinces got sites and I was number 1200 in the queue and couldn't get anything I wanted and this has happened for the last 3 years.  Like to understand how families can booked joined sites when others can't even get any sites.  Something has to be done to make it fair to everyone to book a site
Moose Mountain,Campsite wasn't cleaned up before arrival and wood was very hard to light.,,2018,
Moose Mountain,Was told there was no sites avalible (1-80) but when I was there there were sites open.,,2018,
Duck Mountain,Had a great time.  Just wish the boat launch was better.   And didnâ€™t like having to move after two weeks because someone had it booked for the weekend when we were wanting to camp longer,,2018,It would be nice to have some sites where you could park your camper and leave it year round.
Duck Mountain,"It is a nice park, well maintained. The only issue is there was bear warnings, so I was surprised to see the garbage cans were not bear safe.",Bear safe garbage units,2018,Get bear safe garbage cans before some poor bear gets put down just because he was attracted to the garbage left out.
Greenwater,"It's beautiful there and our site was nice and private.  The amenities were good, too.",Wi-Fi,2018,"The only issue I would like addressed, was not finding out about a fire ban at Buffalo Pound until I was at the park, yet the ban had been in place the whole week prior to us arriving. I checked online before going and there was nothing online to advise of the fire ban either. We would've appreciated the chance to book at a different park where there was no fire ban in place."
Pike Lake,Love it there,,2018,
Danielson,Itâ€™s a great park,More dump sites!!!,2018,
Crooked Lake,"Beautiful campground, sites anf water",,2018,
Candle Lake,"Had everything we needed. Store, swimming, showers.",Horse back riding.,2018,
Greenwater,Grear place to camp  Some sites were damaged after storm,,2018,
Duck Mountain,Douglas is a great park with wonderful staff! The park is always clean and has great activities for the kids.,,2018,
Greenwater,Great location and services and got the campsite we wanted,,2018,
Saskatchewan Landing,"Access to free firewood was a bonus. The bathrooms and washing areas were well maintained and cleaned daily. Also, the campsite was ready and clean.",,2018,
Crooked Lake,Westher was good,More kids entertainment,2018,
Candle Lake,we  where not able to book the number of days we wanted,"first come, first serve camp sites",2018,
Pike Lake,Overall a good experience nice size spots,,2018,
Cypress Hills,Quiet location.   Well kept park.,,2018,"There is a real lack of rule enforcement in provincial parks.   Our family enjoys the relaxation and peace of getting away from city life by enjoying a camping trip....   At least we used to.    It seems as though it is more about large gatherings, noisy parties, loud stereos and general disrespect for those around you.   We are beginning to consider selling our camping equipment and finding other activities to partake in as provincial park camping is increasingly an exercise in frustrations brought about b"
Blackstrap Provincial,"No water was available, due to damaged or frozen water lines.",,2018,"On the question about ads: the ads didn't affect my decision to camp at a provincial park. I had already made that decision. However, the ad inspired me to act on that decision and make a booking."
Duck Mountain,Clean site. Free fire wood. Not to busy.,,2018,Needs more full service sites
Narrow Hills,one of the best parks for the sites being private,better marked and maintained trails,2018,booking at the moose mountain park in Sept was not user friendly as most of the park was off limits
Pike Lake,Easy access to a quality site with no prior booking,Winter camping yurts,2018,Only wouldnâ€™t use the set up camping tents because we have a tent trailer. They are a good idea. Bravo. Make more winter camping oportunities available. More shower facilities are always appreciated.
Great Blue,"The sites were a nice size, easy to park in, private. The weather was nice (not that you can take credit for that, but it helps). We enjoying the beach, the hike, and the mini-golf.",,2018,I wish we lived closer and could come more often!
Greenwater,The campground and facilities are very well kept and clean. Friendly staff,,2018,
Moose Mountain,"beautiful park, have camped there every summer for 40+ years, sandy beach campground is quiet, not crowded, with nice private sites, the beach and lake are unbeatable.",,2018,"The fairy house gps walk was great. We can back and did it a 2nd time with friends.  Disappointed with the snack shack compared to previous years. Hours were variable and unpredicatable, hot food selections are not as good as other years."
22,We had 4 separate campsites booked.  Attempted to keep them as close together   as we could.  The map and site numbers showed they were.  However upon arrival one campsite was almost a kilometer away from the others,,2018,The campsites were originally created for tents many years ago and that worked.   Now campers and fifth wheel trailers are assigned those same sites which makes it very difficult to park in the small space.  Once the camper is parked and you park your truck in the site there is barely room for the picnic table.  Very cramped quarters
Good Spirit,Had nice spot,,2018,
Narrow Hills,Everything was as expected,,2018,
Saskatchewan Landing,Nice campground very well kept. Clean facilities,Amphitheater,2018,I wish there was more full service sites.
22,"It was a well treed/ bushed site. Private. The weather was pleasant. There was no noisy people nearby, and it was nice to go for a quiet morning walk down to the lake.",More natural wooded decent length hikes.,2018,"Battleford provincial park had unreasonably cold showers. I get that you are trying to save money, but it was extremely unpleasant, especially on the day when it was cool and raining a bit.  It was one thing if it just bugged me, but even my husband and sons who are super hot blooded and take cool showers regularly in the summer were upset about it. It doen't just hurry us out, it makes us think twice about booking there. Otherwise the park was very nice, though will need some more shade trees planted by th"
Blackstrap Provincial,It was a beautiful park and staff were friendly,,2018,
Saskatchewan Landing,"The weather was great, and the campsite was in a nice spot.",,2018,
Meadow Lake,There should be more full service sites and a little more room,,2018,More full service sites. Itâ€™s tough trying to get a spot every year. Weâ€™ve had to miss Years because we couldnâ€™t get full service
Good Spirit,"The washrooms were dirty, even after they were cleaned.   No toilet paper.   Even told front gate and maintenance,  still nothing done about it.  Fire pits not cleaned out.",,2018,
Narrow Hills,Very nice site,,2018,
Moose Mountain,beautiful area,,2018,
Battlefords,"The site was great, we love the little store, the lake and beach is great for swimming, the kids loved the programming that was available",,2018,
Duck Mountain,"Fun Park, lots to do.",,2018,
Saskatchewan Landing,"Beach should be dragged every night, and get the bigger rocks picked out of the beach...mini golf course could use a major upgrade",Golf course,2018,Needs to be more seasonal sites available
Candle Lake,"Came in the back way and was a complete nightmare trying to find where to check on there were no signs what so ever, upon check in the guy working wasnâ€™t that nice, plus the beach was awful, there was poop everywhere and smelt funny",,2018,
Greenwater,Our family loves camping at Emma Lake. The only negative comment I could make is the big red garbage bins inside the camping Isles. We experienced foul odors drifting into our site from the garbage bins unfortunately!! We were very satisfied with our site but would never book that one again simply for that reason. Sask Parks needs to designate an area for garbage bins!! They should not be placed close to campsites as it is not only Un-Attractive but can also draw in Bears & other unwanted wild animals!! Sas,Designated garbage bin area/zone,2018,Another great year of Sask Provincial camping!!
Candle Lake,Booked campground to hopefully use the pool if the weather was nice but the pool closed for the season before we arrived. Hopefully the park will be able to fix in the near future,,2018,
Greenwater,it was quiet and a good size,,2018,
Battlefords,We had a lovely time,,2018,
Douglas Provincial,Nice sites. Good fishing. Nearby amenities.,Disabled assessable boat launch.,2018,"Too much competition for sites online and too risky to just show up and hope for a decent site, especially with children."
Cypress Hills,Campsites are Fantastic   Washrooms modern and kept very clean  Beach area very disappointing.... Not maintained at all.,,2018,
Narrow Hills,The site was quite uneven. It was hard to park the camper.,,2018,
Lac La,Our site was spacious enough for our camper and boat.  The weather was beautiful and the boating was fantastic!,,2018,
Meadow Lake,"Have been there many times.  Weather was good, camp spot big, had family around to make it special.",Level the lots a few times a year.  Weather make ruts happen and noo one fixes their own ruts when they leave.,2018,
Duck Mountain,"Love the campground! Clean, water is awesome and the store staff are so friendly!",,2018,Fix the reservation system!!!  So many empty campsites when it says the campground is booked!  Stop allowing ppl to ruin other people's summer who want to camp but can't get a site because it's booked up when it clearly is not!!
Candle Lake,The fire ban made the camping experience much less fun,A posted notice of boat ramp rules and etiquette for using the boat ramp,2018,I believe dogs should not be allowed in Provincial park camp grounds. At the very least the  On leash  policy should be strictly enforced and owners who are caught not cleaning up after there dogs or keeping them on a leash should be removed or banned .A policy of no refunds on fees for being removed from campsite for breaches of pet issues as well as other breaches of rules is fair IMO
Douglas Provincial,"Most everybody in the park were respectful, polite people. The park is clean and well managed. Access to Gardiner Dam, the beach and cotteau bay close by are a bonus","Groceries stores, in park activities",2018,"Was kicked out of on-line reserve a site system after following all the rules and time frames, not sure why but the time I got back through system I did not get the camp sites or the preferred time"
Battlefords,The park needs a lot of clean up. Sites we were in had been left quite messy,More parking areas   More kids activities ie ball diamond bmx trail,2018,Our first visit of the year was in June and we had an interaction with a new conservation officer who was quite rude and on a power trip. This left quite a sour taste in my mouth
Great Blue,Wanted full service annual but fees to expensive only Albertians can afford. Just like our jobs and this government contracts to alberta buddies only.,Ful service more long stay spots,2018,
Moose Mountain,The bathrooms ran out of toilet paper by noon. It was ridiculous. That is not acceptable. What would people in tents do. I took my own toilet paper so I would have some.,"Toilets that have toilet paper. It wasnâ€™t even busy, there was no excuse.",2018,Completely unacceptable about bathrooms. Also beaches were very disgusting and never raked. Full of bird poop.
Danielson,The weather was gtreat and that is a very well maintained beautiful park.,,2018,No
Crooked Lake,We stayed at sandy bay for the first time (we usually stay at minowaka) the campsite was large enough for camper tent boat and both vehicles. Also good amount of easy parking after launching the boat. And lots of room to turn around,More activities and rentals ie kayaks/canoes,2018,We had a great long weekend. We usually camp up to 3-4 weeks at Sk parks. This year we went to the far north- lake Athabaska so our camping down south was shorter. We will see u next summer
Moose Mountain,there is always room to improve campsites and parks,,2018,
Crooked Lake,Beautiful campground and surroundings,,2018,
Douglas Provincial,I like the oark,,2018,
Candle Lake,"No swimming pool, had a boil water advisory and then hit us with a fire ban",More swings and other play structures,2018,Fix the pool at buffalo pound
Crooked Lake,Poor weather,Full service campsites,2018,
Danielson,Our site was exactly as pictured.  The site was clean and the fire pit had been emptied.  The bathrooms were very clean and in good working order.  There was lots and lots to do. The bike trails were well kept.  We saw lots of wildlife including a moose up close!  The staff everywhere were very curteous as were the other campers.  It was very quiet for the first 4 days.  We left early as the long weekend was starting and it got too busy and loud for our taste.,A dishwashing area,2018,
Danielson,"We enjoy our time in Cypress. Things seem to have improved with more consistency in rules and policies being obeyed/enforced, even during a fire ban!  That made it very enjoyable, knowing that the same rules applied to everyone. That wasn't always the case. What I haven't enjoyed is the unisex washrooms. Sometimes they are a complete mess from men using the facilities and I don't like to have to stand in urine and drop my pants to use the toilet. Obviously this was a frequent reminder.  Staff keep the washr",,2018,"We have been camping for decades in Cypress Hills and in 2018 we have seen general operational improvements overall. It is apparent that management and staff truly care about the facilities, the park, and the visitor experience. There seems to be a consistent delivery in management and services. I did not see any Conservation Officers this year, but I didn't need to. Everything was smooth and everyone seemed to be obeying the rules. Job well done by all. The swimming pool facility in Cypress Hills is in bad"
Crooked Lake,Would have chosen completely satisfied if the big hole in our campsite that was filled with water had been filled.,Baby swing at the playground,2018,Highway 224  in Meadow Lake Park is terrible. Until that is fixed we will not return to this park.
Candle Lake,Hiking on nicholls flats/ trans canada dyke trail as well as on the bike trails was awesome,,2018,Maintenance of trails as well as availabilty of non electric private (treed in) sites is one of our most highly valued aspects of the experience in Sask Parks. We Hope that as sask parks moves to upgrading sites to electric through the province they keep some sites non electric for those that still like the non electric experience!
Moose Mountain,I didnâ€™t like that I couldnâ€™t book longer. On reservation system said sites were booked and they remained open.,,2018,I donâ€™t like the online booking! Unless you are on the first day you donâ€™t get a site. Saskatchewan residents should get a week prior to other provinces.
Danielson,"We decided to try Cypress Hills Park after the Labour Dat weekend to avoid crowds. Not a great time to go. The office closed at 5pm so we had to pick a campsite as the sign indicated. The spaces provided for late checkin were not really ideal. The next day we discovered that nothing was open - the visitor centre, the canoe/kayak rentals, the dining room in the lodge - they were all closed on the second weekend of September! We understand that students make up the majority of manpower in provincial parks in",Stay open longer in the fall. Our parks should be available for use beyond May to the first weekend of September.,2018,
Moose Mountain,We love it there always have a great time at meadow lake,,2018,I don't like the online booking system too many empty lots. Too many people moving sites to stay longer. Needs a different system for booking.
Good Spirit,Because it was beautiful and the weather was great. Spending time with family and friends.,,2018,
Blackstrap Provincial,New spot was great. Service centre and playground brand new.,,2018,No
Douglas Provincial,Not as nice as Douglas or sasklanding,A real boat launch in Douglas park and expand the park as it is a very hard park to reserve,2018,You. Red a boat launch at Douglas park.  You need to expand Douglas park as itâ€™s very hard to reserve a site there.  You need to move the main beach to the current old boat launch area.  The bathrooms need to be cleaner.  You need to focus on more maintaince in Douglas park. Painting sign poles. Fixing the road inside the park as our 60000 trailer bottoms out every time we pull in and pull out of the loops that we stay in.  Garbage collection. This year we had a bear in Douglas park all summer ! We work i
Duck Mountain,Clean sites and bathrooms. Private and quiet sites. Great beaches and store.,,2018,
Duck Mountain,"Good site, good amenities, poor weather",,2018,
Candle Lake,"Only thing really disappointed is having no pool, would of camped more if pool had t been broken .  Because lake is awful to swim in with all green stuff",More dumping stations and always a pool or good beach to swim in,2018,Just hope they get the pool fixed or a new one
Danielson,Always happy camping in this park! Clean and friendly staff,,2018,
Battlefords,fire pit was not cleaned out all summer,,2018,no
Duck Mountain,We have been camping at Douglas for 15+ years.  We love it.,,2018,I feel that the reservations should be open early to saskatchewan residents first. We pay taxes that support the parks.
Saskatchewan Landing,Facilities were great,,2018,No
22,"The group campsite is not clearly marked and we have numerous people coming through the campsite, on the swing and using the bathrooms also.  We do not feel completely safe at times as we have young children in our group.",,2018,Maybe have the staff mention to people registering about group campsites that it is off limits.
Moose Mountain,"Beautiful lake, clean water. It's my favorite place",,2018,
Moose Mountain,The site we had had a significant slope and was very difficult to park our trailer safely.,Nightly amphitheatre shows would be great!,2018,
Danielson,Nothing Is ever perfect.,,2018,
Danielson,Quality of park and amenities,,2018,
Moose Mountain,The sites were clean and fairly private. Access to the lake was good. Some of the roads in and near the park should be improved. Too many washboards and broken pavement.,,2018,All the camp fire pits should be on the ground. The ones on a pole are not very pleasant to sit around at night.
Greenwater,"Very nice campsites, well treed and clean park.",,2018,"The online reservation system should not combine 2 or 3 parks for the same day to begin bookings - I was online at 7am and was 2000+ in the que.  Also, once we were booked and paid and then still had to go thru the process when checking in at the park by phoning a call center to take down all the same information....its not neccessary!  I've booked the site - let us just check in."
Narrow Hills,The presence of conservation officers flashing their lights and pulling people over was too much. I'm all about safety but it was ridiculous. I appreciate their presence but believe they should be more lenient in terms of issuing tickets.,,2018,Please look into better lit bike paths.
Candle Lake,"Close to home, quiet area.","Would like More seasonal spots, I apply every year. Have had it a few years and enjoy it.",2018,More seasonal sites please...
